ID,SalePrice
1461,116083.3
1462,144600.9
1463,174566.0
1464,189516.3
1465,207887.8
1466,187781.9
1467,170675.7
1468,182986.2
1469,193036.9
1470,122566.3
1471,197798.5
1472,130903.6
1473,124644.6
1474,172854.3
1475,139017.9
1476,326622.9
1477,262120.9
1478,292286.6
1479,275433.0
1480,344126.2
1481,291868.0
1482,220660.8
1483,183516.5
1484,190051.7
1485,193084.1
1486,214069.4
1487,297768.4
1488,262553.1
1489,195796.9
1490,190464.1
1491,210915.3
1492,108648.4
1493,175992.5
1494,286273.1
1495,281768.2
1496,207801.0
1497,211858.9
1498,187694.9
1499,187694.9
1500,174543.2
1501,185525.4
1502,180138.9
1503,256166.8
1504,236706.5
1505,206959.4
1506,187379.1
1507,218497.9
1508,191999.3
1509,176931.4
1510,148955.5
1511,147948.6
1512,160676.5
1513,176366.7
1514,130601.7
1515,179556.8
1516,164938.4
1517,138868.7
1518,160536.1
1519,206877.8
1520,126149.3
1521,128609.0
1522,172771.1
1523,119694.0
1524,119915.9
1525,117812.0
1526,119402.9
1527,110382.6
1528,134962.2
1529,144246.6
1530,168273.7
1531,114785.2
1532,94251.8
1533,150378.7
1534,132612.3
1535,137270.2
1536,117077.8
1537,89377.3
1538,154246.0
1539,185047.5
1540,121849.6
1541,150994.1
1542,137196.2
1543,164930.3
1544,92090.4
1545,127316.1
1546,146425.0
1547,129240.7
1548,141279.2
1549,126912.7
1550,144732.8
1551,122627.6
1552,138435.7
1553,117936.5
1554,128100.6
1555,143920.6
1556,114024.8
1557,106846.3
1558,119225.1
1559,104158.2
1560,141304.2
1561,124087.8
1562,117294.9
1563,116670.9
1564,159395.1
1565,154544.3
1566,193642.7
1567,103583.2
1568,194295.8
1569,112254.8
1570,129058.4
1571,121872.2
1572,125703.1
1573,211441.3
1574,150819.3
1575,196432.2
1576,248064.0
1577,196521.2
1578,141644.3
1579,146563.6
1580,208972.0
1581,126953.3
1582,133750.8
1583,282276.7
1584,225428.5
1585,155543.4
1586,66496.2
1587,114469.2
1588,131156.3
1589,124586.6
1590,140382.2
1591,96138.4
1592,120207.3
1593,132889.9
1594,107453.8
1595,116659.9
1596,176724.8
1597,171082.3
1598,200587.1
1599,190725.3
1600,201044.0
1601,71090.3
1602,120951.7
1603,91884.4
1604,234283.9
1605,269808.0
1606,169022.8
1607,199311.8
1608,228578.1
1609,195565.3
1610,166462.9
1611,149074.8
1612,172906.9
1613,166979.1
1614,122018.3
1615,101287.7
1616,101287.7
1617,114961.5
1618,117993.7
1619,135369.8
1620,194768.5
1621,156562.4
1622,139277.3
1623,235762.8
1624,195681.0
1625,124137.5
1626,174714.0
1627,189328.7
1628,288817.1
1629,199961.2
1630,272209.1
1631,221934.9
1632,232917.8
1633,190554.5
1634,190921.7
1635,182476.8
1636,171312.0
1637,176702.7
1638,211646.4
1639,185435.6
1640,233707.1
1641,185257.3
1642,220094.0
1643,238466.2
1644,236315.6
1645,168177.7
1646,159638.6
1647,178340.3
1648,148142.6
1649,126069.5
1650,121660.1
1651,121966.1
1652,131563.0
1653,131232.9
1654,176390.9
1655,170719.0
1656,173724.9
1657,177279.4
1658,174161.9
1659,139367.6
1660,142626.7
1661,344994.4
1662,340207.8
1663,313490.8
1664,376298.7
1665,296853.1
1666,272555.6
1667,305536.2
1668,297259.4
1669,282127.7
1670,301026.1
1671,220190.3
1672,331943.1
1673,294274.9
1674,263819.1
1675,185198.9
1676,182614.6
1677,202554.0
1678,364329.4
1679,293293.2
1680,270717.3
1681,246707.1
1682,267306.1
1683,203041.6
